attendance,study_hours,internal_marks,assignments,final_marks
88,12,65,7,82.92
78,5,30,8,55.08
64,1,37,9,53.24
92,14,81,8,86.74
57,14,76,6,69.53
70,14,85,3,80.54
88,4,43,4,58.33
68,5,57,0,50.95
72,12,31,0,55.11
60,10,55,2,56.99
60,10,43,7,59.85
73,5,88,1,64.19
85,7,85,3,79.61
89,4,36,1,52.53
73,1,32,4,46.6
52,14,52,8,68.35
71,14,47,0,62.62
51,5,67,4,56.06
73,7,44,8,64.72
93,10,93,0,73.67
79,10,57,8,77.6
87,6,68,7,69.46
51,5,86,3,57.61
70,4,46,10,59.34
82,2,73,9,70.41
61,4,54,4,52.39
71,10,46,4,61.16
93,10,42,10,78.07
74,3,54,5,61.74
98,10,97,6,90.66
76,1,39,7,53.07
91,8,96,7,88.19
77,5,47,10,69.47
65,13,63,1,58.32
64,4,37,8,55.29
96,8,69,6,79.8
100,7,71,3,73.31
93,2,70,3,69.23
52,1,35,10,47.05
86,12,81,7,83.98
100,11,55,3,73.68
56,4,93,5,62.65
70,8,88,4,66.71
58,12,85,2,61.78
88,2,88,9,82.28
67,3,99,10,72.56
53,12,62,1,52.73
74,1,82,8,60.94
63,1,51,9,53.28
99,13,50,8,78.23
58,3,99,0,61.43
75,11,99,9,89.43
51,5,33,2,37.24
69,12,91,7,86.56
77,3,91,5,72.15
96,1,53,4,60.53
56,1,84,4,47.3
93,8,38,5,72.57
57,10,32,6,49.23
96,11,60,0,64.66
84,12,69,8,83.77
63,13,65,2,70.62
66,13,53,3,66.55
85,12,35,9,74.09
99,14,95,0,86.68
89,2,33,10,65.46
53,13,35,9,63.08
51,3,80,2,51.84
55,2,91,1,53.51
91,3,86,1,67.11
53,7,95,0,55.84
78,1,37,7,53.16
67,10,55,2,53.22
75,8,80,2,66.3
93,13,74,5,79.53
83,10,73,7,74.29
59,10,34,8,58.34
85,10,99,8,91.88
63,14,55,3,65.75
80,2,97,4,64.79
97,3,48,1,55.33
64,9,49,10,68.92
57,7,41,8,52.55
63,4,76,7,62.63
72,10,30,2,54.45
89,5,43,10,66.59
70,2,93,8,70.62
65,13,67,2,60.7
94,11,66,8,80.8
67,13,40,1,56.86
96,8,32,9,66.32
73,4,62,8,65.92
75,9,35,7,61.74
74,5,79,8,72.96
94,13,39,4,71.57
90,9,34,10,76.09
78,4,52,10,66.98
64,10,39,1,49.51
94,5,73,7,76.37
50,9,31,5,49.23
74,8,42,7,62.45
56,3,69,10,61.82
58,1,31,4,37.59
73,3,94,9,72.51
50,4,92,1,49.69
93,2,46,5,66.15
57,1,38,4,37.67
73,7,44,4,54.72
60,8,53,0,47.34
100,7,67,1,72.68
66,14,64,7,72.02
57,5,78,2,58.94
84,12,98,9,88.88
84,1,91,2,65.94
82,7,89,7,75.89
54,13,79,7,77.84
91,7,38,1,54.14
88,9,63,7,76.33
90,3,64,10,75.7
77,9,30,0,51.84
56,14,69,5,66.84
58,1,93,7,62.41
57,1,51,2,42.43
61,14,89,7,77.96
83,4,93,0,68.79
82,9,40,10,77.23
97,6,43,10,72.23
72,13,89,8,78.99
73,11,59,10,74.84
86,3,64,8,76.94
84,1,66,4,58.19
93,4,34,9,70.62
89,12,55,3,76.03
71,13,91,10,84.64
76,9,33,5,60.31
84,3,71,6,72.39
50,12,47,4,53.36
84,9,69,10,79.49
86,7,68,9,74.95
96,12,43,8,74.66
63,14,61,2,61.35
52,4,80,6,54.93
50,3,67,9,57.3
54,10,52,9,60.39
75,5,92,10,79.3
63,5,44,4,45.73
88,3,54,6,64.99
76,12,46,1,62.6
58,9,95,3,61.02
64,4,82,1,57.62
64,11,80,6,75.48
75,5,68,1,54.27
91,4,80,10,85.22
62,5,99,0,61.76
100,7,35,8,68.78
81,9,96,0,71.83
88,7,36,7,66.57
98,13,80,1,80.53
81,5,71,7,71.82
53,10,93,2,61.34
79,10,44,5,64.81
86,7,58,2,58.96
72,14,62,6,72.87
88,10,56,9,74.79
94,5,65,8,72.89
64,3,58,1,51.81
92,7,67,4,74.57
78,13,86,5,81.93
85,11,56,3,65.22
62,11,84,3,66.75
81,2,62,3,61.54
56,12,97,1,67.83
100,9,95,3,90.76
71,10,39,10,68.28
77,10,34,0,53.58
51,12,67,5,61.47
91,1,42,0,50.6
94,13,60,9,84.24
55,6,76,5,61.62
77,7,81,0,66.37
77,14,85,5,78.24
93,13,44,9,75.51
93,8,58,7,69.19
69,10,37,10,67.22
79,9,34,1,50.79
60,2,58,1,38.84
77,11,76,3,72.47
74,10,97,10,93.18
88,2,74,2,62.78
82,5,31,3,55.12
50,13,56,6,61.65
76,5,65,10,70.6
62,6,65,0,54.26
90,3,55,5,62.73
52,8,72,2,55.8
88,13,56,10,83.57
55,1,98,9,64.1
57,6,49,6,56.68
76,4,40,9,60.18
58,1,67,1,43.73
86,7,35,1,56.41
82,9,52,3,61.0
100,13,76,0,78.48
91,4,75,2,66.67
93,4,41,8,69.56
73,6,42,6,59.42
64,12,91,6,76.22
81,3,89,10,80.15
81,13,72,3,78.27
73,12,97,1,75.87
90,6,34,3,57.93
98,7,66,5,70.96
98,11,60,10,82.2
61,10,38,10,61.88
88,10,80,2,72.37
51,3,58,0,40.84
52,7,69,7,60.57
98,14,70,4,84.59
86,3,40,4,55.79
98,13,52,10,86.86
66,13,30,3,55.69
98,2,75,5,65.67
51,12,50,2,49.98
51,14,65,8,68.27
77,10,83,4,70.07
72,4,86,2,64.2
86,12,30,10,77.39
81,8,92,0,73.26
82,13,83,9,86.16
50,9,84,5,67.97
68,7,69,1,58.25
51,1,44,2,36.79
93,3,50,0,53.96
75,13,76,8,79.49
81,12,82,7,80.74
55,14,38,1,52.21
81,9,81,10,82.98
53,12,86,7,71.91
60,1,55,8,55.01
66,9,70,0,61.77
87,8,64,4,72.45
73,1,92,7,64.05
54,6,54,10,52.34
83,5,67,1,63.6
55,6,31,3,38.9
71,10,36,6,59.53
60,12,63,2,56.79
97,13,46,4,68.79
65,13,72,7,75.32
82,13,88,9,90.58
58,5,80,2,54.47
55,6,83,3,50.83
65,5,53,8,58.26
78,11,54,6,70.78
52,12,100,0,60.76
69,5,81,3,62.95
85,4,99,3,72.95
68,3,62,8,63.14
75,3,78,5,64.86
52,4,58,8,52.08
68,9,92,5,76.69
69,2,51,5,52.32
81,9,55,4,65.62
56,1,57,4,43.9
90,14,78,1,76.37
82,1,100,7,71.85
89,5,78,7,74.98
88,6,49,10,77.24
67,6,92,0,57.48
89,3,90,7,71.86
50,7,78,4,62.21
60,9,100,1,65.67
77,11,30,1,52.49
74,12,42,5,67.22
99,10,80,10,88.78
72,8,85,8,81.38
80,6,91,0,68.53
79,12,61,5,70.34
91,8,59,8,82.17
84,12,58,7,74.08
56,5,78,10,69.03
65,8,74,5,66.2
75,10,59,2,66.61
97,12,45,7,81.88
98,4,69,8,76.8
51,10,48,0,44.54
50,8,47,8,57.08
97,10,30,5,65.27
61,12,76,5,75.14
54,2,95,3,57.41
86,12,67,0,67.8
81,12,80,9,84.85
58,5,92,7,63.26
90,9,33,1,55.29
84,4,30,0,51.0
68,11,37,1,51.03
97,6,58,0,60.26
65,1,84,0,54.01
52,9,32,8,56.76
69,1,61,0,49.26
73,5,39,3,54.39
82,4,63,9,67.73
73,13,84,5,73.23
60,12,61,6,70.2
98,13,79,1,79.03
57,13,36,5,55.95
85,14,37,6,74.88
87,3,94,9,81.77
89,13,86,9,91.87
69,6,96,1,71.6
84,2,88,1,61.97
97,3,83,9,83.58
74,5,96,6,73.57
84,9,80,0,69.21
74,2,37,7,58.19
78,10,63,10,78.62
67,8,64,2,60.21
95,14,61,10,91.32
67,2,75,5,58.11
51,11,45,8,56.58
84,13,97,5,82.67
65,5,66,8,57.9
90,7,83,6,84.47
85,8,43,8,65.19
82,1,84,1,60.04
53,6,77,7,61.17
82,1,36,7,56.22
63,2,36,1,42.35
70,1,62,3,54.88
97,11,52,10,80.85
69,5,48,6,56.5
57,10,48,10,65.05
56,9,65,3,56.45
52,6,58,3,54.72
66,11,89,5,75.27
82,11,31,9,71.0
97,1,30,5,58.49
61,13,76,9,79.82
100,1,98,2,74.14
71,2,49,8,53.61
71,9,40,9,65.9
95,3,31,10,63.95
79,1,96,1,61.51
87,5,41,5,62.36
87,7,49,6,70.61
94,6,34,8,67.06
100,12,66,2,78.13
57,1,67,9,62.71
76,5,38,2,51.52
76,5,82,6,77.81
83,6,73,3,68.5
70,3,53,7,52.72
79,5,59,6,66.56
82,7,88,4,74.74
77,5,43,6,62.57
96,5,38,2,60.82
82,5,69,1,60.58
54,10,95,5,65.93
97,10,54,1,67.87
68,3,51,2,46.55
53,1,33,5,38.06
84,5,55,4,63.87
98,14,87,7,97.61
66,9,58,8,67.78
93,14,66,10,85.21
77,1,99,2,66.03
79,3,47,9,66.39
78,13,71,2,69.27
95,13,70,2,77.2
55,4,67,5,54.44
84,14,63,0,66.95
90,1,46,6,61.94
86,1,66,0,55.04
73,8,54,4,62.26
78,2,56,9,61.24
98,12,86,7,88.59
95,8,60,3,72.27
80,7,35,4,55.78
84,10,69,3,75.98
82,10,41,3,60.4
70,2,82,7,66.17
81,6,100,1,73.9
72,6,39,0,43.44
82,3,74,2,56.32
52,11,46,8,55.22
67,2,55,3,53.99
74,12,91,9,83.14
91,1,75,4,73.77
80,6,93,1,66.91
52,12,31,3,49.55
89,5,83,1,72.63
95,14,94,1,90.52
73,14,80,3,80.68
99,11,82,5,88.53
81,9,65,6,74.77
96,1,55,9,71.38
71,7,58,2,59.54
72,5,50,2,51.15
51,5,40,9,49.45
76,14,69,5,75.39
91,2,40,2,53.29
51,11,65,1,53.24
75,3,88,7,72.59
66,7,68,4,64.07
89,6,83,0,67.97
82,12,84,2,79.83
58,2,53,9,51.57
92,6,51,7,69.22
97,2,98,3,72.95
88,2,85,6,66.5
78,2,62,9,65.45
91,14,65,1,73.83
75,11,49,6,71.44
84,3,91,4,72.39
99,2,55,4,61.43
74,4,95,5,75.96
73,9,69,8,76.36
62,6,46,5,55.05
56,1,30,7,42.42
85,8,90,6,76.72
94,12,72,8,84.48
69,14,71,3,73.47
50,7,54,1,51.75
57,10,68,6,68.83
95,3,64,5,66.83
65,1,32,0,33.44
63,5,73,10,68.52
61,13,80,8,70.69
100,4,41,8,70.07
72,10,48,1,56.26
64,8,73,2,58.7
77,1,88,4,59.62
83,10,78,4,76.14
51,1,90,0,47.0
81,12,46,7,67.59
72,4,86,7,61.28
71,8,84,3,67.62
100,5,76,6,83.12
74,2,41,10,64.28
71,6,91,9,75.03
71,5,37,2,46.69
98,2,50,5,65.51
91,13,99,9,92.2
55,14,54,9,69.41
64,11,41,8,65.4
92,11,44,0,66.88
86,11,88,4,79.7
82,3,55,3,56.79
57,9,55,7,57.97
93,7,76,10,80.92
93,7,61,0,63.22
54,11,39,8,59.6
88,6,45,5,66.14
53,8,100,3,62.89
55,4,46,8,57.08
94,8,52,10,76.99
81,4,55,4,59.64
79,8,36,4,55.76
96,9,43,4,60.83
84,3,36,0,50.65
89,3,38,0,52.81
65,11,77,7,71.96
62,13,88,7,77.5
99,2,68,5,71.45
91,13,47,10,76.41
79,10,88,3,72.91
68,3,46,1,48.48
66,3,43,1,40.64
68,5,60,8,64.08
77,5,53,4,54.63
75,2,89,3,65.0
86,12,74,9,84.39
75,10,32,0,46.75
72,13,66,6,76.69
58,6,72,2,52.8
61,5,69,5,56.17
50,6,84,4,59.0
50,1,68,4,51.05
96,5,44,10,69.55
83,9,33,4,60.09
81,12,54,0,64.29
97,10,42,0,65.48
74,14,62,2,68.53
89,2,45,9,63.9
94,1,71,3,62.12
50,14,95,4,71.56
65,10,84,1,61.48
88,13,71,7,73.84
54,11,63,10,70.01
71,9,59,10,74.61
78,10,42,1,50.21
52,9,42,8,53.17
61,9,47,1,52.66
75,6,61,8,73.67
65,8,68,6,65.06
100,14,75,7,87.62
86,11,58,10,79.45
71,13,91,1,76.92
78,1,91,6,66.76
